ASL;ANNO;SESSO;ETA;NUMERO
Bari;2006;Femmine;40-44;578
Bari;2006;Femmine;45-49;962
Bari;2006;Femmine;50-54;1715
Bari;2006;Femmine;55-59;2839
Bari;2006;Femmine;60-64;3679
Bari;2006;Femmine;65-69;4429
Bari;2006;Femmine;70-74;4940
Bari;2006;Femmine;75-79;4701
Bari;2006;Femmine;80-84;3331
Bari;2006;Femmine;85 e oltre;2227
Bari;2006;Maschi;40-44;708
Bari;2006;Maschi;45-49;1370
Bari;2006;Maschi;50-54;2096
Bari;2006;Maschi;55-59;3403
Bari;2006;Maschi;60-64;4037
Bari;2006;Maschi;65-69;4579
Bari;2006;Maschi;70-74;4269
Bari;2006;Maschi;75-79;3506
Bari;2006;Maschi;80-84;2036
Bari;2006;Maschi;85 e oltre;967
Bari;2006;Tutti;40-44;1286
Bari;2006;Tutti;45-49;2332
Bari;2006;Tutti;50-54;3811
Bari;2006;Tutti;55-59;6242
Bari;2006;Tutti;60-64;7716
Bari;2006;Tutti;65-69;9008
Bari;2006;Tutti;70-74;9209
Bari;2006;Tutti;75-79;8207
Bari;2006;Tutti;80-84;5367
Bari;2006;Tutti;85 e oltre;3194
Bari;2007;Femmine;40-44;725
Bari;2007;Femmine;45-49;1160
Bari;2007;Femmine;50-54;1961
Bari;2007;Femmine;55-59;3176
Bari;2007;Femmine;60-64;4253
Bari;2007;Femmine;65-69;4923
Bari;2007;Femmine;70-74;5544
Bari;2007;Femmine;75-79;5292
Bari;2007;Femmine;80-84;3841
Bari;2007;Femmine;85 e oltre;2781
Bari;2007;Maschi;40-44;873
Bari;2007;Maschi;45-49;1647
Bari;2007;Maschi;50-54;2597
Bari;2007;Maschi;55-59;3940
Bari;2007;Maschi;60-64;4885
Bari;2007;Maschi;65-69;5316
Bari;2007;Maschi;70-74;4964
Bari;2007;Maschi;75-79;4072
Bari;2007;Maschi;80-84;2383
Bari;2007;Maschi;85 e oltre;1262
Bari;2007;Tutti;40-44;1598
Bari;2007;Tutti;45-49;2807
Bari;2007;Tutti;50-54;4558
Bari;2007;Tutti;55-59;7116
Bari;2007;Tutti;60-64;9138
Bari;2007;Tutti;65-69;10239
Bari;2007;Tutti;70-74;10508
Bari;2007;Tutti;75-79;9364
Bari;2007;Tutti;80-84;6224
Bari;2007;Tutti;85 e oltre;4043
Bari;2008;Femmine;40-44;801
Bari;2008;Femmine;45-49;1250
Bari;2008;Femmine;50-54;1981
Bari;2008;Femmine;55-59;3175
Bari;2008;Femmine;60-64;4574
Bari;2008;Femmine;65-69;4990
Bari;2008;Femmine;70-74;5550
Bari;2008;Femmine;75-79;5490
Bari;2008;Femmine;80-84;3961
Bari;2008;Femmine;85 e oltre;2991
Bari;2008;Maschi;40-44;926
Bari;2008;Maschi;45-49;1715
Bari;2008;Maschi;50-54;2708
Bari;2008;Maschi;55-59;4015
Bari;2008;Maschi;60-64;5330
Bari;2008;Maschi;65-69;5476
Bari;2008;Maschi;70-74;5221
Bari;2008;Maschi;75-79;4228
Bari;2008;Maschi;80-84;2605
Bari;2008;Maschi;85 e oltre;1415
Bari;2008;Tutti;40-44;1727
Bari;2008;Tutti;45-49;2965
Bari;2008;Tutti;50-54;4689
Bari;2008;Tutti;55-59;7190
Bari;2008;Tutti;60-64;9904
Bari;2008;Tutti;65-69;10466
Bari;2008;Tutti;70-74;10771
Bari;2008;Tutti;75-79;9718
Bari;2008;Tutti;80-84;6566
Bari;2008;Tutti;85 e oltre;4406
Bari;2009;Femmine;40-44;852
Bari;2009;Femmine;45-49;1283
Bari;2009;Femmine;50-54;2131
Bari;2009;Femmine;55-59;3262
Bari;2009;Femmine;60-64;4824
Bari;2009;Femmine;65-69;5082
Bari;2009;Femmine;70-74;5673
Bari;2009;Femmine;75-79;5752
Bari;2009;Femmine;80-84;4209
Bari;2009;Femmine;85 e oltre;3178
Bari;2009;Maschi;40-44;945
Bari;2009;Maschi;45-49;1802
Bari;2009;Maschi;50-54;2847
Bari;2009;Maschi;55-59;4122
Bari;2009;Maschi;60-64;5786
Bari;2009;Maschi;65-69;5702
Bari;2009;Maschi;70-74;5535
Bari;2009;Maschi;75-79;4514
Bari;2009;Maschi;80-84;2828
Bari;2009;Maschi;85 e oltre;1553
Bari;2009;Tutti;40-44;1797
Bari;2009;Tutti;45-49;3085
Bari;2009;Tutti;50-54;4978
Bari;2009;Tutti;55-59;7384
Bari;2009;Tutti;60-64;10610
Bari;2009;Tutti;65-69;10784
Bari;2009;Tutti;70-74;11208
Bari;2009;Tutti;75-79;10266
Bari;2009;Tutti;80-84;7037
Bari;2009;Tutti;85 e oltre;4731
Bari;2010;Femmine;40-44;882
Bari;2010;Femmine;45-49;1403
Bari;2010;Femmine;50-54;2219
Bari;2010;Femmine;55-59;3358
Bari;2010;Femmine;60-64;5057
Bari;2010;Femmine;65-69;5300
Bari;2010;Femmine;70-74;5891
Bari;2010;Femmine;75-79;5767
Bari;2010;Femmine;80-84;4543
Bari;2010;Femmine;85 e oltre;3441
Bari;2010;Maschi;40-44;959
Bari;2010;Maschi;45-49;1850
Bari;2010;Maschi;50-54;3034
Bari;2010;Maschi;55-59;4156
Bari;2010;Maschi;60-64;6153
Bari;2010;Maschi;65-69;5874
Bari;2010;Maschi;70-74;5955
Bari;2010;Maschi;75-79;4802
Bari;2010;Maschi;80-84;3127
Bari;2010;Maschi;85 e oltre;1759
Bari;2010;Tutti;40-44;1841
Bari;2010;Tutti;45-49;3253
Bari;2010;Tutti;50-54;5253
Bari;2010;Tutti;55-59;7514
Bari;2010;Tutti;60-64;11210
Bari;2010;Tutti;65-69;11174
Bari;2010;Tutti;70-74;11846
Bari;2010;Tutti;75-79;10569
Bari;2010;Tutti;80-84;7670
Bari;2010;Tutti;85 e oltre;5200
Bari;2011;Femmine;40-44;921
Bari;2011;Femmine;45-49;1416
Bari;2011;Femmine;50-54;2226
Bari;2011;Femmine;55-59;3377
Bari;2011;Femmine;60-64;4963
Bari;2011;Femmine;65-69;5641
Bari;2011;Femmine;70-74;6022
Bari;2011;Femmine;75-79;5829
Bari;2011;Femmine;80-84;4708
Bari;2011;Femmine;85 e oltre;3698
Bari;2011;Maschi;40-44;931
Bari;2011;Maschi;45-49;1870
Bari;2011;Maschi;50-54;3151
Bari;2011;Maschi;55-59;4248
Bari;2011;Maschi;60-64;6106
Bari;2011;Maschi;65-69;6328
Bari;2011;Maschi;70-74;6188
Bari;2011;Maschi;75-79;4930
Bari;2011;Maschi;80-84;3332
Bari;2011;Maschi;85 e oltre;1882
Bari;2011;Tutti;40-44;1852
Bari;2011;Tutti;45-49;3286
Bari;2011;Tutti;50-54;5377
Bari;2011;Tutti;55-59;7625
Bari;2011;Tutti;60-64;11069
Bari;2011;Tutti;65-69;11969
Bari;2011;Tutti;70-74;12210
Bari;2011;Tutti;75-79;10759
Bari;2011;Tutti;80-84;8040
Bari;2011;Tutti;85 e oltre;5580
Bari;2012;Femmine;40-44;889
Bari;2012;Femmine;45-49;1426
Bari;2012;Femmine;50-54;2221
Bari;2012;Femmine;55-59;3370
Bari;2012;Femmine;60-64;4878
Bari;2012;Femmine;65-69;5783
Bari;2012;Femmine;70-74;6026
Bari;2012;Femmine;75-79;5979
Bari;2012;Femmine;80-84;4784
Bari;2012;Femmine;85 e oltre;3955
Bari;2012;Maschi;40-44;886
Bari;2012;Maschi;45-49;1837
Bari;2012;Maschi;50-54;3064
Bari;2012;Maschi;55-59;4404
Bari;2012;Maschi;60-64;6004
Bari;2012;Maschi;65-69;6777
Bari;2012;Maschi;70-74;6311
Bari;2012;Maschi;75-79;5214
Bari;2012;Maschi;80-84;3417
Bari;2012;Maschi;85 e oltre;2006
Bari;2012;Tutti;40-44;1775
Bari;2012;Tutti;45-49;3263
Bari;2012;Tutti;50-54;5285
Bari;2012;Tutti;55-59;7774
Bari;2012;Tutti;60-64;10882
Bari;2012;Tutti;65-69;12560
Bari;2012;Tutti;70-74;12337
Bari;2012;Tutti;75-79;11193
Bari;2012;Tutti;80-84;8201
Bari;2012;Tutti;85 e oltre;5961
Bari;2013;Femmine;40-44;882
Bari;2013;Femmine;45-49;1404
Bari;2013;Femmine;50-54;2224
Bari;2013;Femmine;55-59;3326
Bari;2013;Femmine;60-64;4675
Bari;2013;Femmine;65-69;6167
Bari;2013;Femmine;70-74;6001
Bari;2013;Femmine;75-79;6056
Bari;2013;Femmine;80-84;4995
Bari;2013;Femmine;85 e oltre;4198
Bari;2013;Maschi;40-44;858
Bari;2013;Maschi;45-49;1804
Bari;2013;Maschi;50-54;3103
Bari;2013;Maschi;55-59;4431
Bari;2013;Maschi;60-64;5934
Bari;2013;Maschi;65-69;7155
Bari;2013;Maschi;70-74;6456
Bari;2013;Maschi;75-79;5382
Bari;2013;Maschi;80-84;3617
Bari;2013;Maschi;85 e oltre;2219
Bari;2013;Tutti;40-44;1740
Bari;2013;Tutti;45-49;3208
Bari;2013;Tutti;50-54;5327
Bari;2013;Tutti;55-59;7757
Bari;2013;Tutti;60-64;10609
Bari;2013;Tutti;65-69;13322
Bari;2013;Tutti;70-74;12457
Bari;2013;Tutti;75-79;11438
Bari;2013;Tutti;80-84;8612
Bari;2013;Tutti;85 e oltre;6417
Bari;2014;Femmine;40-44;884
Bari;2014;Femmine;45-49;1424
Bari;2014;Femmine;50-54;2228
Bari;2014;Femmine;55-59;3314
Bari;2014;Femmine;60-64;4662
Bari;2014;Femmine;65-69;6362
Bari;2014;Femmine;70-74;6047
Bari;2014;Femmine;75-79;6043
Bari;2014;Femmine;80-84;5155
Bari;2014;Femmine;85 e oltre;4385
Bari;2014;Maschi;40-44;796
Bari;2014;Maschi;45-49;1732
Bari;2014;Maschi;50-54;3088
Bari;2014;Maschi;55-59;4547
Bari;2014;Maschi;60-64;5897
Bari;2014;Maschi;65-69;7426
Bari;2014;Maschi;70-74;6533
Bari;2014;Maschi;75-79;5612
Bari;2014;Maschi;80-84;3811
Bari;2014;Maschi;85 e oltre;2396
Bari;2014;Tutti;40-44;1680
Bari;2014;Tutti;45-49;3156
Bari;2014;Tutti;50-54;5316
Bari;2014;Tutti;55-59;7861
Bari;2014;Tutti;60-64;10559
Bari;2014;Tutti;65-69;13788
Bari;2014;Tutti;70-74;12580
Bari;2014;Tutti;75-79;11655
Bari;2014;Tutti;80-84;8966
Bari;2014;Tutti;85 e oltre;6781
Bari;2015;Femmine;40-44;917
Bari;2015;Femmine;45-49;1357
Bari;2015;Femmine;50-54;2264
Bari;2015;Femmine;55-59;3302
Bari;2015;Femmine;60-64;4534
Bari;2015;Femmine;65-69;6396
Bari;2015;Femmine;70-74;6068
Bari;2015;Femmine;75-79;6132
Bari;2015;Femmine;80-84;5121
Bari;2015;Femmine;85 e oltre;4692
Bari;2015;Maschi;40-44;752
Bari;2015;Maschi;45-49;1685
Bari;2015;Maschi;50-54;3056
Bari;2015;Maschi;55-59;4577
Bari;2015;Maschi;60-64;5772
Bari;2015;Maschi;65-69;7681
Bari;2015;Maschi;70-74;6631
Bari;2015;Maschi;75-79;5883
Bari;2015;Maschi;80-84;3987
Bari;2015;Maschi;85 e oltre;2578
Bari;2015;Tutti;40-44;1669
Bari;2015;Tutti;45-49;3042
Bari;2015;Tutti;50-54;5320
Bari;2015;Tutti;55-59;7879
Bari;2015;Tutti;60-64;10306
Bari;2015;Tutti;65-69;14077
Bari;2015;Tutti;70-74;12699
Bari;2015;Tutti;75-79;12015
Bari;2015;Tutti;80-84;9108
Bari;2015;Tutti;85 e oltre;7270
Bari;2016;Femmine;40-44;964
Bari;2016;Femmine;45-49;1361
Bari;2016;Femmine;50-54;2191
Bari;2016;Femmine;55-59;3303
Bari;2016;Femmine;60-64;4489
Bari;2016;Femmine;65-69;6181
Bari;2016;Femmine;70-74;6385
Bari;2016;Femmine;75-79;6195
Bari;2016;Femmine;80-84;5176
Bari;2016;Femmine;85 e oltre;4840
Bari;2016;Maschi;40-44;730
Bari;2016;Maschi;45-49;1626
Bari;2016;Maschi;50-54;2940
Bari;2016;Maschi;55-59;4654
Bari;2016;Maschi;60-64;5763
Bari;2016;Maschi;65-69;7518
Bari;2016;Maschi;70-74;7104
Bari;2016;Maschi;75-79;6124
Bari;2016;Maschi;80-84;4058
Bari;2016;Maschi;85 e oltre;2749
Bari;2016;Tutti;40-44;1694
Bari;2016;Tutti;45-49;2987
Bari;2016;Tutti;50-54;5131
Bari;2016;Tutti;55-59;7957
Bari;2016;Tutti;60-64;10252
Bari;2016;Tutti;65-69;13699
Bari;2016;Tutti;70-74;13489
Bari;2016;Tutti;75-79;12319
Bari;2016;Tutti;80-84;9234
Bari;2016;Tutti;85 e oltre;7589
Bari;2017;Femmine;40-44;1048
Bari;2017;Femmine;45-49;1326
Bari;2017;Femmine;50-54;2193
Bari;2017;Femmine;55-59;3350
Bari;2017;Femmine;60-64;4453
Bari;2017;Femmine;65-69;6020
Bari;2017;Femmine;70-74;6600
Bari;2017;Femmine;75-79;6228
Bari;2017;Femmine;80-84;5346
Bari;2017;Femmine;85 e oltre;5026
Bari;2017;Maschi;40-44;721
Bari;2017;Maschi;45-49;1581
Bari;2017;Maschi;50-54;2893
Bari;2017;Maschi;55-59;4550
Bari;2017;Maschi;60-64;5968
Bari;2017;Maschi;65-69;7317
Bari;2017;Maschi;70-74;7489
Bari;2017;Maschi;75-79;6297
Bari;2017;Maschi;80-84;4308
Bari;2017;Maschi;85 e oltre;2884
Bari;2017;Tutti;40-44;1769
Bari;2017;Tutti;45-49;2907
Bari;2017;Tutti;50-54;5086
Bari;2017;Tutti;55-59;7900
Bari;2017;Tutti;60-64;10421
Bari;2017;Tutti;65-69;13337
Bari;2017;Tutti;70-74;14089
Bari;2017;Tutti;75-79;12525
Bari;2017;Tutti;80-84;9654
Bari;2017;Tutti;85 e oltre;7910
Bari;2018;Femmine;40-44;1052
Bari;2018;Femmine;45-49;1278
Bari;2018;Femmine;50-54;2183
Bari;2018;Femmine;55-59;3306
Bari;2018;Femmine;60-64;4411
Bari;2018;Femmine;65-69;5770
Bari;2018;Femmine;70-74;7048
Bari;2018;Femmine;75-79;6228
Bari;2018;Femmine;80-84;5551
Bari;2018;Femmine;85 e oltre;5717
Bari;2018;Maschi;40-44;706
Bari;2018;Maschi;45-49;1486
Bari;2018;Maschi;50-54;2880
Bari;2018;Maschi;55-59;4609
Bari;2018;Maschi;60-64;5981
Bari;2018;Maschi;65-69;7282
Bari;2018;Maschi;70-74;7981
Bari;2018;Maschi;75-79;6557
Bari;2018;Maschi;80-84;4658
Bari;2018;Maschi;85 e oltre;3421
Bari;2018;Tutti;40-44;1758
Bari;2018;Tutti;45-49;2764
Bari;2018;Tutti;50-54;5063
Bari;2018;Tutti;55-59;7915
Bari;2018;Tutti;60-64;10392
Bari;2018;Tutti;65-69;13052
Bari;2018;Tutti;70-74;15029
Bari;2018;Tutti;75-79;12785
Bari;2018;Tutti;80-84;10209
Bari;2018;Tutti;85 e oltre;9138
Bari;2019;Femmine;40-44;1078
Bari;2019;Femmine;45-49;1265
Bari;2019;Femmine;50-54;2116
Bari;2019;Femmine;55-59;3236
Bari;2019;Femmine;60-64;4405
Bari;2019;Femmine;65-69;5679
Bari;2019;Femmine;70-74;7151
Bari;2019;Femmine;75-79;6169
Bari;2019;Femmine;80-84;5379
Bari;2019;Femmine;85 e oltre;5511
Bari;2019;Maschi;40-44;701
Bari;2019;Maschi;45-49;1399
Bari;2019;Maschi;50-54;2779
Bari;2019;Maschi;55-59;4602
Bari;2019;Maschi;60-64;6028
Bari;2019;Maschi;65-69;7183
Bari;2019;Maschi;70-74;8234
Bari;2019;Maschi;75-79;6455
Bari;2019;Maschi;80-84;4688
Bari;2019;Maschi;85 e oltre;3320
Bari;2019;Tutti;40-44;1779
Bari;2019;Tutti;45-49;2664
Bari;2019;Tutti;50-54;4895
Bari;2019;Tutti;55-59;7838
Bari;2019;Tutti;60-64;10433
Bari;2019;Tutti;65-69;12862
Bari;2019;Tutti;70-74;15385
Bari;2019;Tutti;75-79;12624
Bari;2019;Tutti;80-84;10067
Bari;2019;Tutti;85 e oltre;8831
BAT;2006;Femmine;40-44;155
BAT;2006;Femmine;45-49;318
BAT;2006;Femmine;50-54;511
BAT;2006;Femmine;55-59;984
BAT;2006;Femmine;60-64;1205
BAT;2006;Femmine;65-69;1418
BAT;2006;Femmine;70-74;1480
BAT;2006;Femmine;75-79;1324
BAT;2006;Femmine;80-84;912
BAT;2006;Femmine;85 e oltre;529
BAT;2006;Maschi;40-44;243
BAT;2006;Maschi;45-49;390
BAT;2006;Maschi;50-54;604
BAT;2006;Maschi;55-59;963
BAT;2006;Maschi;60-64;1215
BAT;2006;Maschi;65-69;1282
BAT;2006;Maschi;70-74;1126
BAT;2006;Maschi;75-79;945
BAT;2006;Maschi;80-84;546
BAT;2006;Maschi;85 e oltre;263
BAT;2006;Tutti;40-44;398
BAT;2006;Tutti;45-49;708
BAT;2006;Tutti;50-54;1115
BAT;2006;Tutti;55-59;1947
BAT;2006;Tutti;60-64;2420
BAT;2006;Tutti;65-69;2700
BAT;2006;Tutti;70-74;2606
BAT;2006;Tutti;75-79;2269
BAT;2006;Tutti;80-84;1458
BAT;2006;Tutti;85 e oltre;792
BAT;2007;Femmine;40-44;218
BAT;2007;Femmine;45-49;343
BAT;2007;Femmine;50-54;580
BAT;2007;Femmine;55-59;1035
BAT;2007;Femmine;60-64;1387
BAT;2007;Femmine;65-69;1580
BAT;2007;Femmine;70-74;1673
BAT;2007;Femmine;75-79;1457
BAT;2007;Femmine;80-84;1041
BAT;2007;Femmine;85 e oltre;695
BAT;2007;Maschi;40-44;295
BAT;2007;Maschi;45-49;488
BAT;2007;Maschi;50-54;685
BAT;2007;Maschi;55-59;1102
BAT;2007;Maschi;60-64;1387
BAT;2007;Maschi;65-69;1497
BAT;2007;Maschi;70-74;1315
BAT;2007;Maschi;75-79;1101
BAT;2007;Maschi;80-84;670
BAT;2007;Maschi;85 e oltre;337
BAT;2007;Tutti;40-44;513
BAT;2007;Tutti;45-49;831
BAT;2007;Tutti;50-54;1265
BAT;2007;Tutti;55-59;2137
BAT;2007;Tutti;60-64;2774
BAT;2007;Tutti;65-69;3077
BAT;2007;Tutti;70-74;2988
BAT;2007;Tutti;75-79;2558
BAT;2007;Tutti;80-84;1711
BAT;2007;Tutti;85 e oltre;1032
BAT;2008;Femmine;40-44;240
BAT;2008;Femmine;45-49;347
BAT;2008;Femmine;50-54;590
BAT;2008;Femmine;55-59;1011
BAT;2008;Femmine;60-64;1475
BAT;2008;Femmine;65-69;1619
BAT;2008;Femmine;70-74;1639
BAT;2008;Femmine;75-79;1496
BAT;2008;Femmine;80-84;1100
BAT;2008;Femmine;85 e oltre;743
BAT;2008;Maschi;40-44;286
BAT;2008;Maschi;45-49;517
BAT;2008;Maschi;50-54;729
BAT;2008;Maschi;55-59;1097
BAT;2008;Maschi;60-64;1439
BAT;2008;Maschi;65-69;1592
BAT;2008;Maschi;70-74;1397
BAT;2008;Maschi;75-79;1098
BAT;2008;Maschi;80-84;712
BAT;2008;Maschi;85 e oltre;346
BAT;2008;Tutti;40-44;526
BAT;2008;Tutti;45-49;864
BAT;2008;Tutti;50-54;1319
BAT;2008;Tutti;55-59;2108
BAT;2008;Tutti;60-64;2914
BAT;2008;Tutti;65-69;3211
BAT;2008;Tutti;70-74;3036
BAT;2008;Tutti;75-79;2594
BAT;2008;Tutti;80-84;1812
BAT;2008;Tutti;85 e oltre;1089
BAT;2009;Femmine;40-44;219
BAT;2009;Femmine;45-49;389
BAT;2009;Femmine;50-54;579
BAT;2009;Femmine;55-59;979
BAT;2009;Femmine;60-64;1567
BAT;2009;Femmine;65-69;1582
BAT;2009;Femmine;70-74;1741
BAT;2009;Femmine;75-79;1531
BAT;2009;Femmine;80-84;1139
BAT;2009;Femmine;85 e oltre;785
BAT;2009;Maschi;40-44;298
BAT;2009;Maschi;45-49;534
BAT;2009;Maschi;50-54;790
BAT;2009;Maschi;55-59;1098
BAT;2009;Maschi;60-64;1554
BAT;2009;Maschi;65-69;1652
BAT;2009;Maschi;70-74;1490
BAT;2009;Maschi;75-79;1160
BAT;2009;Maschi;80-84;760
BAT;2009;Maschi;85 e oltre;375
BAT;2009;Tutti;40-44;517
BAT;2009;Tutti;45-49;923
BAT;2009;Tutti;50-54;1369
BAT;2009;Tutti;55-59;2077
BAT;2009;Tutti;60-64;3121
BAT;2009;Tutti;65-69;3234
BAT;2009;Tutti;70-74;3231
BAT;2009;Tutti;75-79;2691
BAT;2009;Tutti;80-84;1899
BAT;2009;Tutti;85 e oltre;1160
BAT;2010;Femmine;40-44;247
BAT;2010;Femmine;45-49;398
BAT;2010;Femmine;50-54;639
BAT;2010;Femmine;55-59;983
BAT;2010;Femmine;60-64;1569
BAT;2010;Femmine;65-69;1651
BAT;2010;Femmine;70-74;1795
BAT;2010;Femmine;75-79;1568
BAT;2010;Femmine;80-84;1217
BAT;2010;Femmine;85 e oltre;837
BAT;2010;Maschi;40-44;308
BAT;2010;Maschi;45-49;566
BAT;2010;Maschi;50-54;806
BAT;2010;Maschi;55-59;1159
BAT;2010;Maschi;60-64;1652
BAT;2010;Maschi;65-69;1717
BAT;2010;Maschi;70-74;1641
BAT;2010;Maschi;75-79;1234
BAT;2010;Maschi;80-84;818
BAT;2010;Maschi;85 e oltre;412
BAT;2010;Tutti;40-44;555
BAT;2010;Tutti;45-49;964
BAT;2010;Tutti;50-54;1445
BAT;2010;Tutti;55-59;2142
BAT;2010;Tutti;60-64;3221
BAT;2010;Tutti;65-69;3368
BAT;2010;Tutti;70-74;3436
BAT;2010;Tutti;75-79;2802
BAT;2010;Tutti;80-84;2035
BAT;2010;Tutti;85 e oltre;1249
BAT;2011;Femmine;40-44;245
BAT;2011;Femmine;45-49;392
BAT;2011;Femmine;50-54;641
BAT;2011;Femmine;55-59;917
BAT;2011;Femmine;60-64;1555
BAT;2011;Femmine;65-69;1703
BAT;2011;Femmine;70-74;1819
BAT;2011;Femmine;75-79;1638
BAT;2011;Femmine;80-84;1203
BAT;2011;Femmine;85 e oltre;914
BAT;2011;Maschi;40-44;278
BAT;2011;Maschi;45-49;592
BAT;2011;Maschi;50-54;817
BAT;2011;Maschi;55-59;1174
BAT;2011;Maschi;60-64;1620
BAT;2011;Maschi;65-69;1813
BAT;2011;Maschi;70-74;1745
BAT;2011;Maschi;75-79;1269
BAT;2011;Maschi;80-84;865
BAT;2011;Maschi;85 e oltre;446
BAT;2011;Tutti;40-44;523
BAT;2011;Tutti;45-49;984
BAT;2011;Tutti;50-54;1458
BAT;2011;Tutti;55-59;2091
BAT;2011;Tutti;60-64;3175
BAT;2011;Tutti;65-69;3516
BAT;2011;Tutti;70-74;3564
BAT;2011;Tutti;75-79;2907
BAT;2011;Tutti;80-84;2068
BAT;2011;Tutti;85 e oltre;1360
BAT;2012;Femmine;40-44;236
BAT;2012;Femmine;45-49;411
BAT;2012;Femmine;50-54;610
BAT;2012;Femmine;55-59;932
BAT;2012;Femmine;60-64;1473
BAT;2012;Femmine;65-69;1753
BAT;2012;Femmine;70-74;1846
BAT;2012;Femmine;75-79;1720
BAT;2012;Femmine;80-84;1256
BAT;2012;Femmine;85 e oltre;948
BAT;2012;Maschi;40-44;248
BAT;2012;Maschi;45-49;597
BAT;2012;Maschi;50-54;847
BAT;2012;Maschi;55-59;1161
BAT;2012;Maschi;60-64;1591
BAT;2012;Maschi;65-69;1862
BAT;2012;Maschi;70-74;1841
BAT;2012;Maschi;75-79;1367
BAT;2012;Maschi;80-84;909
BAT;2012;Maschi;85 e oltre;495
BAT;2012;Tutti;40-44;484
BAT;2012;Tutti;45-49;1008
BAT;2012;Tutti;50-54;1457
BAT;2012;Tutti;55-59;2093
BAT;2012;Tutti;60-64;3064
BAT;2012;Tutti;65-69;3615
BAT;2012;Tutti;70-74;3687
BAT;2012;Tutti;75-79;3087
BAT;2012;Tutti;80-84;2165
BAT;2012;Tutti;85 e oltre;1443
BAT;2013;Femmine;40-44;237
BAT;2013;Femmine;45-49;424
BAT;2013;Femmine;50-54;605
BAT;2013;Femmine;55-59;943
BAT;2013;Femmine;60-64;1388
BAT;2013;Femmine;65-69;1908
BAT;2013;Femmine;70-74;1865
BAT;2013;Femmine;75-79;1669
BAT;2013;Femmine;80-84;1279
BAT;2013;Femmine;85 e oltre;1027
BAT;2013;Maschi;40-44;234
BAT;2013;Maschi;45-49;553
BAT;2013;Maschi;50-54;908
BAT;2013;Maschi;55-59;1181
BAT;2013;Maschi;60-64;1600
BAT;2013;Maschi;65-69;1921
BAT;2013;Maschi;70-74;1901
BAT;2013;Maschi;75-79;1441
BAT;2013;Maschi;80-84;930
BAT;2013;Maschi;85 e oltre;553
BAT;2013;Tutti;40-44;471
BAT;2013;Tutti;45-49;977
BAT;2013;Tutti;50-54;1513
BAT;2013;Tutti;55-59;2124
BAT;2013;Tutti;60-64;2988
BAT;2013;Tutti;65-69;3829
BAT;2013;Tutti;70-74;3766
BAT;2013;Tutti;75-79;3110
BAT;2013;Tutti;80-84;2209
BAT;2013;Tutti;85 e oltre;1580
BAT;2014;Femmine;40-44;226
BAT;2014;Femmine;45-49;405
BAT;2014;Femmine;50-54;616
BAT;2014;Femmine;55-59;924
BAT;2014;Femmine;60-64;1367
BAT;2014;Femmine;65-69;1931
BAT;2014;Femmine;70-74;1822
BAT;2014;Femmine;75-79;1729
BAT;2014;Femmine;80-84;1315
