ASL;ANNO;SESSO;ETA;NUMERO
Foggia;2006;Tutti;40-44;679
Foggia;2006;Tutti;45-49;1259
Foggia;2006;Tutti;50-54;2079
Foggia;2006;Tutti;55-59;3441
Foggia;2006;Tutti;60-64;4188
Foggia;2006;Tutti;65-69;4857
Foggia;2006;Tutti;70-74;5150
Foggia;2006;Tutti;75-79;4519
Foggia;2006;Tutti;80-84;3283
Foggia;2006;Tutti;85 e oltre;1791
Foggia;2007;Femmine;40-44;351
Foggia;2007;Femmine;45-49;631
Foggia;2007;Femmine;50-54;1109
Foggia;2007;Femmine;55-59;1912
Foggia;2007;Femmine;60-64;2439
Foggia;2007;Femmine;65-69;2896
Foggia;2007;Femmine;70-74;3209
Foggia;2007;Femmine;75-79;2986
Foggia;2007;Femmine;80-84;2318
Foggia;2007;Femmine;85 e oltre;1517
Foggia;2007;Maschi;40-44;489
Foggia;2007;Maschi;45-49;926
Foggia;2007;Maschi;50-54;1417
Foggia;2007;Maschi;55-59;2081
Foggia;2007;Maschi;60-64;2465
Foggia;2007;Maschi;65-69;2642
Foggia;2007;Maschi;70-74;2578
Foggia;2007;Maschi;75-79;2076
Foggia;2007;Maschi;80-84;1412
Foggia;2007;Maschi;85 e oltre;701
Foggia;2007;Tutti;40-44;840
Foggia;2007;Tutti;45-49;1557
Foggia;2007;Tutti;50-54;2526
Foggia;2007;Tutti;55-59;3993
Foggia;2007;Tutti;60-64;4904
Foggia;2007;Tutti;65-69;5538
Foggia;2007;Tutti;70-74;5787
Foggia;2007;Tutti;75-79;5062
Foggia;2007;Tutti;80-84;3730
Foggia;2007;Tutti;85 e oltre;2218
Foggia;2008;Femmine;40-44;365
Foggia;2008;Femmine;45-49;654
Foggia;2008;Femmine;50-54;1106
Foggia;2008;Femmine;55-59;1870
Foggia;2008;Femmine;60-64;2618
Foggia;2008;Femmine;65-69;2844
Foggia;2008;Femmine;70-74;3360
Foggia;2008;Femmine;75-79;3087
Foggia;2008;Femmine;80-84;2357
Foggia;2008;Femmine;85 e oltre;1709
Foggia;2008;Maschi;40-44;495
Foggia;2008;Maschi;45-49;964
Foggia;2008;Maschi;50-54;1499
Foggia;2008;Maschi;55-59;2082
Foggia;2008;Maschi;60-64;2779
Foggia;2008;Maschi;65-69;2722
Foggia;2008;Maschi;70-74;2710
Foggia;2008;Maschi;75-79;2146
Foggia;2008;Maschi;80-84;1493
Foggia;2008;Maschi;85 e oltre;769
Foggia;2008;Tutti;40-44;860
Foggia;2008;Tutti;45-49;1618
Foggia;2008;Tutti;50-54;2605
Foggia;2008;Tutti;55-59;3952
Foggia;2008;Tutti;60-64;5397
Foggia;2008;Tutti;65-69;5566
Foggia;2008;Tutti;70-74;6070
Foggia;2008;Tutti;75-79;5233
Foggia;2008;Tutti;80-84;3850
Foggia;2008;Tutti;85 e oltre;2478
Foggia;2009;Femmine;40-44;389
Foggia;2009;Femmine;45-49;671
Foggia;2009;Femmine;50-54;1133
Foggia;2009;Femmine;55-59;1809
Foggia;2009;Femmine;60-64;2787
Foggia;2009;Femmine;65-69;2834
Foggia;2009;Femmine;70-74;3444
Foggia;2009;Femmine;75-79;3249
Foggia;2009;Femmine;80-84;2491
Foggia;2009;Femmine;85 e oltre;1830
Foggia;2009;Maschi;40-44;497
Foggia;2009;Maschi;45-49;994
Foggia;2009;Maschi;50-54;1509
Foggia;2009;Maschi;55-59;2178
Foggia;2009;Maschi;60-64;2942
Foggia;2009;Maschi;65-69;2805
Foggia;2009;Maschi;70-74;2821
Foggia;2009;Maschi;75-79;2324
Foggia;2009;Maschi;80-84;1593
Foggia;2009;Maschi;85 e oltre;865
Foggia;2009;Tutti;40-44;886
Foggia;2009;Tutti;45-49;1665
Foggia;2009;Tutti;50-54;2642
Foggia;2009;Tutti;55-59;3987
Foggia;2009;Tutti;60-64;5729
Foggia;2009;Tutti;65-69;5639
Foggia;2009;Tutti;70-74;6265
Foggia;2009;Tutti;75-79;5573
Foggia;2009;Tutti;80-84;4084
Foggia;2009;Tutti;85 e oltre;2695
Foggia;2010;Femmine;40-44;411
Foggia;2010;Femmine;45-49;693
Foggia;2010;Femmine;50-54;1161
Foggia;2010;Femmine;55-59;1797
Foggia;2010;Femmine;60-64;2875
Foggia;2010;Femmine;65-69;2889
Foggia;2010;Femmine;70-74;3460
Foggia;2010;Femmine;75-79;3351
Foggia;2010;Femmine;80-84;2645
Foggia;2010;Femmine;85 e oltre;1969
Foggia;2010;Maschi;40-44;539
Foggia;2010;Maschi;45-49;961
Foggia;2010;Maschi;50-54;1581
Foggia;2010;Maschi;55-59;2234
Foggia;2010;Maschi;60-64;3148
Foggia;2010;Maschi;65-69;2849
Foggia;2010;Maschi;70-74;2993
Foggia;2010;Maschi;75-79;2466
Foggia;2010;Maschi;80-84;1676
Foggia;2010;Maschi;85 e oltre;964
Foggia;2010;Tutti;40-44;950
Foggia;2010;Tutti;45-49;1654
Foggia;2010;Tutti;50-54;2742
Foggia;2010;Tutti;55-59;4031
Foggia;2010;Tutti;60-64;6023
Foggia;2010;Tutti;65-69;5738
Foggia;2010;Tutti;70-74;6453
Foggia;2010;Tutti;75-79;5817
Foggia;2010;Tutti;80-84;4321
Foggia;2010;Tutti;85 e oltre;2933
Foggia;2011;Femmine;40-44;423
Foggia;2011;Femmine;45-49;688
Foggia;2011;Femmine;50-54;1157
Foggia;2011;Femmine;55-59;1830
Foggia;2011;Femmine;60-64;2794
Foggia;2011;Femmine;65-69;3087
Foggia;2011;Femmine;70-74;3448
Foggia;2011;Femmine;75-79;3445
Foggia;2011;Femmine;80-84;2730
Foggia;2011;Femmine;85 e oltre;2129
Foggia;2011;Maschi;40-44;517
Foggia;2011;Maschi;45-49;983
Foggia;2011;Maschi;50-54;1579
Foggia;2011;Maschi;55-59;2259
Foggia;2011;Maschi;60-64;3098
Foggia;2011;Maschi;65-69;3151
Foggia;2011;Maschi;70-74;3087
Foggia;2011;Maschi;75-79;2550
Foggia;2011;Maschi;80-84;1687
Foggia;2011;Maschi;85 e oltre;1066
Foggia;2011;Tutti;40-44;940
Foggia;2011;Tutti;45-49;1671
Foggia;2011;Tutti;50-54;2736
Foggia;2011;Tutti;55-59;4089
Foggia;2011;Tutti;60-64;5892
Foggia;2011;Tutti;65-69;6238
Foggia;2011;Tutti;70-74;6535
Foggia;2011;Tutti;75-79;5995
Foggia;2011;Tutti;80-84;4417
Foggia;2011;Tutti;85 e oltre;3195
Foggia;2012;Femmine;40-44;436
Foggia;2012;Femmine;45-49;664
Foggia;2012;Femmine;50-54;1101
Foggia;2012;Femmine;55-59;1827
Foggia;2012;Femmine;60-64;2737
Foggia;2012;Femmine;65-69;3171
Foggia;2012;Femmine;70-74;3435
Foggia;2012;Femmine;75-79;3464
Foggia;2012;Femmine;80-84;2684
Foggia;2012;Femmine;85 e oltre;2320
Foggia;2012;Maschi;40-44;469
Foggia;2012;Maschi;45-49;964
Foggia;2012;Maschi;50-54;1615
Foggia;2012;Maschi;55-59;2265
Foggia;2012;Maschi;60-64;3071
Foggia;2012;Maschi;65-69;3266
Foggia;2012;Maschi;70-74;3173
Foggia;2012;Maschi;75-79;2645
Foggia;2012;Maschi;80-84;1751
Foggia;2012;Maschi;85 e oltre;1151
Foggia;2012;Tutti;40-44;905
Foggia;2012;Tutti;45-49;1628
Foggia;2012;Tutti;50-54;2716
Foggia;2012;Tutti;55-59;4092
Foggia;2012;Tutti;60-64;5808
Foggia;2012;Tutti;65-69;6437
Foggia;2012;Tutti;70-74;6608
Foggia;2012;Tutti;75-79;6109
Foggia;2012;Tutti;80-84;4435
Foggia;2012;Tutti;85 e oltre;3471
Foggia;2013;Femmine;40-44;436
Foggia;2013;Femmine;45-49;648
Foggia;2013;Femmine;50-54;1064
Foggia;2013;Femmine;55-59;1791
Foggia;2013;Femmine;60-64;2623
Foggia;2013;Femmine;65-69;3342
Foggia;2013;Femmine;70-74;3295
Foggia;2013;Femmine;75-79;3552
Foggia;2013;Femmine;80-84;2735
Foggia;2013;Femmine;85 e oltre;2492
Foggia;2013;Maschi;40-44;467
Foggia;2013;Maschi;45-49;948
Foggia;2013;Maschi;50-54;1606
Foggia;2013;Maschi;55-59;2297
Foggia;2013;Maschi;60-64;2974
Foggia;2013;Maschi;65-69;3563
Foggia;2013;Maschi;70-74;3128
Foggia;2013;Maschi;75-79;2740
Foggia;2013;Maschi;80-84;1836
Foggia;2013;Maschi;85 e oltre;1232
Foggia;2013;Tutti;40-44;903
Foggia;2013;Tutti;45-49;1596
Foggia;2013;Tutti;50-54;2670
Foggia;2013;Tutti;55-59;4088
Foggia;2013;Tutti;60-64;5597
Foggia;2013;Tutti;65-69;6905
Foggia;2013;Tutti;70-74;6423
Foggia;2013;Tutti;75-79;6292
Foggia;2013;Tutti;80-84;4571
Foggia;2013;Tutti;85 e oltre;3724
Foggia;2014;Femmine;40-44;423
Foggia;2014;Femmine;45-49;633
Foggia;2014;Femmine;50-54;1090
Foggia;2014;Femmine;55-59;1764
Foggia;2014;Femmine;60-64;2467
Foggia;2014;Femmine;65-69;3460
Foggia;2014;Femmine;70-74;3192
Foggia;2014;Femmine;75-79;3537
Foggia;2014;Femmine;80-84;2885
Foggia;2014;Femmine;85 e oltre;2555
Foggia;2014;Maschi;40-44;455
Foggia;2014;Maschi;45-49;912
Foggia;2014;Maschi;50-54;1603
Foggia;2014;Maschi;55-59;2219
Foggia;2014;Maschi;60-64;2986
Foggia;2014;Maschi;65-69;3741
Foggia;2014;Maschi;70-74;3125
Foggia;2014;Maschi;75-79;2833
Foggia;2014;Maschi;80-84;1933
Foggia;2014;Maschi;85 e oltre;1308
Foggia;2014;Tutti;40-44;878
Foggia;2014;Tutti;45-49;1545
Foggia;2014;Tutti;50-54;2693
Foggia;2014;Tutti;55-59;3983
Foggia;2014;Tutti;60-64;5453
Foggia;2014;Tutti;65-69;7201
Foggia;2014;Tutti;70-74;6317
Foggia;2014;Tutti;75-79;6370
Foggia;2014;Tutti;80-84;4818
Foggia;2014;Tutti;85 e oltre;3863
Foggia;2015;Femmine;40-44;408
Foggia;2015;Femmine;45-49;626
Foggia;2015;Femmine;50-54;1122
Foggia;2015;Femmine;55-59;1725
Foggia;2015;Femmine;60-64;2427
Foggia;2015;Femmine;65-69;3485
Foggia;2015;Femmine;70-74;3187
Foggia;2015;Femmine;75-79;3486
Foggia;2015;Femmine;80-84;2876
Foggia;2015;Femmine;85 e oltre;2682
Foggia;2015;Maschi;40-44;433
Foggia;2015;Maschi;45-49;919
Foggia;2015;Maschi;50-54;1558
Foggia;2015;Maschi;55-59;2281
Foggia;2015;Maschi;60-64;2963
Foggia;2015;Maschi;65-69;3840
Foggia;2015;Maschi;70-74;3131
Foggia;2015;Maschi;75-79;2950
Foggia;2015;Maschi;80-84;1978
Foggia;2015;Maschi;85 e oltre;1390
Foggia;2015;Tutti;40-44;841
Foggia;2015;Tutti;45-49;1545
Foggia;2015;Tutti;50-54;2680
Foggia;2015;Tutti;55-59;4006
Foggia;2015;Tutti;60-64;5390
Foggia;2015;Tutti;65-69;7325
Foggia;2015;Tutti;70-74;6318
Foggia;2015;Tutti;75-79;6436
Foggia;2015;Tutti;80-84;4854
Foggia;2015;Tutti;85 e oltre;4072
Foggia;2016;Femmine;40-44;428
Foggia;2016;Femmine;45-49;604
Foggia;2016;Femmine;50-54;1098
Foggia;2016;Femmine;55-59;1691
Foggia;2016;Femmine;60-64;2389
Foggia;2016;Femmine;65-69;3362
Foggia;2016;Femmine;70-74;3357
Foggia;2016;Femmine;75-79;3458
Foggia;2016;Femmine;80-84;2994
Foggia;2016;Femmine;85 e oltre;2734
Foggia;2016;Maschi;40-44;449
Foggia;2016;Maschi;45-49;883
Foggia;2016;Maschi;50-54;1538
Foggia;2016;Maschi;55-59;2261
Foggia;2016;Maschi;60-64;2985
Foggia;2016;Maschi;65-69;3756
Foggia;2016;Maschi;70-74;3425
Foggia;2016;Maschi;75-79;2993
Foggia;2016;Maschi;80-84;2041
Foggia;2016;Maschi;85 e oltre;1460
Foggia;2016;Tutti;40-44;877
Foggia;2016;Tutti;45-49;1487
Foggia;2016;Tutti;50-54;2636
Foggia;2016;Tutti;55-59;3952
Foggia;2016;Tutti;60-64;5374
Foggia;2016;Tutti;65-69;7118
Foggia;2016;Tutti;70-74;6782
Foggia;2016;Tutti;75-79;6451
Foggia;2016;Tutti;80-84;5035
Foggia;2016;Tutti;85 e oltre;4194
Foggia;2017;Femmine;40-44;441
Foggia;2017;Femmine;45-49;616
Foggia;2017;Femmine;50-54;1050
Foggia;2017;Femmine;55-59;1662
Foggia;2017;Femmine;60-64;2392
Foggia;2017;Femmine;65-69;3264
Foggia;2017;Femmine;70-74;3501
Foggia;2017;Femmine;75-79;3385
Foggia;2017;Femmine;80-84;2972
Foggia;2017;Femmine;85 e oltre;2779
Foggia;2017;Maschi;40-44;468
Foggia;2017;Maschi;45-49;833
Foggia;2017;Maschi;50-54;1536
Foggia;2017;Maschi;55-59;2326
Foggia;2017;Maschi;60-64;3039
Foggia;2017;Maschi;65-69;3701
Foggia;2017;Maschi;70-74;3599
Foggia;2017;Maschi;75-79;3039
Foggia;2017;Maschi;80-84;2151
Foggia;2017;Maschi;85 e oltre;1466
Foggia;2017;Tutti;40-44;909
Foggia;2017;Tutti;45-49;1449
Foggia;2017;Tutti;50-54;2586
Foggia;2017;Tutti;55-59;3988
Foggia;2017;Tutti;60-64;5431
Foggia;2017;Tutti;65-69;6965
Foggia;2017;Tutti;70-74;7100
Foggia;2017;Tutti;75-79;6424
Foggia;2017;Tutti;80-84;5123
Foggia;2017;Tutti;85 e oltre;4245
Foggia;2018;Femmine;40-44;452
Foggia;2018;Femmine;45-49;602
Foggia;2018;Femmine;50-54;1027
Foggia;2018;Femmine;55-59;1639
Foggia;2018;Femmine;60-64;2388
Foggia;2018;Femmine;65-69;3186
Foggia;2018;Femmine;70-74;3751
Foggia;2018;Femmine;75-79;3319
Foggia;2018;Femmine;80-84;3164
Foggia;2018;Femmine;85 e oltre;3118
Foggia;2018;Maschi;40-44;439
Foggia;2018;Maschi;45-49;834
Foggia;2018;Maschi;50-54;1508
Foggia;2018;Maschi;55-59;2340
Foggia;2018;Maschi;60-64;3105
Foggia;2018;Maschi;65-69;3653
Foggia;2018;Maschi;70-74;3987
Foggia;2018;Maschi;75-79;3076
Foggia;2018;Maschi;80-84;2349
Foggia;2018;Maschi;85 e oltre;1738
Foggia;2018;Tutti;40-44;891
Foggia;2018;Tutti;45-49;1436
Foggia;2018;Tutti;50-54;2535
Foggia;2018;Tutti;55-59;3979
Foggia;2018;Tutti;60-64;5493
Foggia;2018;Tutti;65-69;6839
Foggia;2018;Tutti;70-74;7738
Foggia;2018;Tutti;75-79;6395
Foggia;2018;Tutti;80-84;5513
Foggia;2018;Tutti;85 e oltre;4856
Foggia;2019;Femmine;40-44;459
Foggia;2019;Femmine;45-49;588
Foggia;2019;Femmine;50-54;982
Foggia;2019;Femmine;55-59;1630
Foggia;2019;Femmine;60-64;2354
Foggia;2019;Femmine;65-69;3023
Foggia;2019;Femmine;70-74;3840
Foggia;2019;Femmine;75-79;3200
Foggia;2019;Femmine;80-84;3072
Foggia;2019;Femmine;85 e oltre;3011
Foggia;2019;Maschi;40-44;419
Foggia;2019;Maschi;45-49;837
Foggia;2019;Maschi;50-54;1483
Foggia;2019;Maschi;55-59;2353
Foggia;2019;Maschi;60-64;3069
Foggia;2019;Maschi;65-69;3702
Foggia;2019;Maschi;70-74;4050
Foggia;2019;Maschi;75-79;3023
Foggia;2019;Maschi;80-84;2347
Foggia;2019;Maschi;85 e oltre;1668
Foggia;2019;Tutti;40-44;878
Foggia;2019;Tutti;45-49;1425
Foggia;2019;Tutti;50-54;2465
Foggia;2019;Tutti;55-59;3983
Foggia;2019;Tutti;60-64;5423
Foggia;2019;Tutti;65-69;6725
Foggia;2019;Tutti;70-74;7890
Foggia;2019;Tutti;75-79;6223
Foggia;2019;Tutti;80-84;5419
Foggia;2019;Tutti;85 e oltre;4679
Lecce;2006;Femmine;40-44;245
Lecce;2006;Femmine;45-49;441
Lecce;2006;Femmine;50-54;921
Lecce;2006;Femmine;55-59;1848
Lecce;2006;Femmine;60-64;2592
Lecce;2006;Femmine;65-69;3154
Lecce;2006;Femmine;70-74;3618
Lecce;2006;Femmine;75-79;3666
Lecce;2006;Femmine;80-84;2593
Lecce;2006;Femmine;85 e oltre;1759
Lecce;2006;Maschi;40-44;373
Lecce;2006;Maschi;45-49;649
Lecce;2006;Maschi;50-54;1153
Lecce;2006;Maschi;55-59;1867
Lecce;2006;Maschi;60-64;2281
Lecce;2006;Maschi;65-69;2674
Lecce;2006;Maschi;70-74;2714
Lecce;2006;Maschi;75-79;2265
Lecce;2006;Maschi;80-84;1283
Lecce;2006;Maschi;85 e oltre;542
Lecce;2006;Tutti;40-44;618
Lecce;2006;Tutti;45-49;1090
Lecce;2006;Tutti;50-54;2074
Lecce;2006;Tutti;55-59;3715
Lecce;2006;Tutti;60-64;4873
Lecce;2006;Tutti;65-69;5828
Lecce;2006;Tutti;70-74;6332
Lecce;2006;Tutti;75-79;5931
Lecce;2006;Tutti;80-84;3876
Lecce;2006;Tutti;85 e oltre;2301
Lecce;2007;Femmine;40-44;363
Lecce;2007;Femmine;45-49;563
Lecce;2007;Femmine;50-54;1075
Lecce;2007;Femmine;55-59;2094
Lecce;2007;Femmine;60-64;3031
Lecce;2007;Femmine;65-69;3595
Lecce;2007;Femmine;70-74;3929
Lecce;2007;Femmine;75-79;4098
Lecce;2007;Femmine;80-84;2910
Lecce;2007;Femmine;85 e oltre;2048
Lecce;2007;Maschi;40-44;483
Lecce;2007;Maschi;45-49;845
Lecce;2007;Maschi;50-54;1409
Lecce;2007;Maschi;55-59;2217
Lecce;2007;Maschi;60-64;2877
Lecce;2007;Maschi;65-69;3185
Lecce;2007;Maschi;70-74;3068
Lecce;2007;Maschi;75-79;2623
Lecce;2007;Maschi;80-84;1492
Lecce;2007;Maschi;85 e oltre;682
Lecce;2007;Tutti;40-44;846
Lecce;2007;Tutti;45-49;1408
Lecce;2007;Tutti;50-54;2484
Lecce;2007;Tutti;55-59;4311
Lecce;2007;Tutti;60-64;5908
Lecce;2007;Tutti;65-69;6780
Lecce;2007;Tutti;70-74;6997
Lecce;2007;Tutti;75-79;6721
Lecce;2007;Tutti;80-84;4402
Lecce;2007;Tutti;85 e oltre;2730
Lecce;2008;Femmine;40-44;374
Lecce;2008;Femmine;45-49;594
Lecce;2008;Femmine;50-54;1100
Lecce;2008;Femmine;55-59;1973
Lecce;2008;Femmine;60-64;3180
Lecce;2008;Femmine;65-69;3645
Lecce;2008;Femmine;70-74;4121
Lecce;2008;Femmine;75-79;4184
Lecce;2008;Femmine;80-84;3089
Lecce;2008;Femmine;85 e oltre;2238
Lecce;2008;Maschi;40-44;507
Lecce;2008;Maschi;45-49;871
Lecce;2008;Maschi;50-54;1456
Lecce;2008;Maschi;55-59;2225
Lecce;2008;Maschi;60-64;3103
Lecce;2008;Maschi;65-69;3343
Lecce;2008;Maschi;70-74;3283
Lecce;2008;Maschi;75-79;2843
Lecce;2008;Maschi;80-84;1591
Lecce;2008;Maschi;85 e oltre;784
Lecce;2008;Tutti;40-44;881
Lecce;2008;Tutti;45-49;1465
Lecce;2008;Tutti;50-54;2556
Lecce;2008;Tutti;55-59;4198
Lecce;2008;Tutti;60-64;6283
Lecce;2008;Tutti;65-69;6988
Lecce;2008;Tutti;70-74;7404
Lecce;2008;Tutti;75-79;7027
Lecce;2008;Tutti;80-84;4680
Lecce;2008;Tutti;85 e oltre;3022
Lecce;2009;Femmine;40-44;378
Lecce;2009;Femmine;45-49;616
Lecce;2009;Femmine;50-54;1118
Lecce;2009;Femmine;55-59;1917
Lecce;2009;Femmine;60-64;3330
Lecce;2009;Femmine;65-69;3637
Lecce;2009;Femmine;70-74;4273
Lecce;2009;Femmine;75-79;4281
Lecce;2009;Femmine;80-84;3338
Lecce;2009;Femmine;85 e oltre;2451
Lecce;2009;Maschi;40-44;517
Lecce;2009;Maschi;45-49;913
Lecce;2009;Maschi;50-54;1495
Lecce;2009;Maschi;55-59;2282
Lecce;2009;Maschi;60-64;3327
Lecce;2009;Maschi;65-69;3388
Lecce;2009;Maschi;70-74;3461
Lecce;2009;Maschi;75-79;2922
Lecce;2009;Maschi;80-84;1818
Lecce;2009;Maschi;85 e oltre;902
Lecce;2009;Tutti;40-44;895
Lecce;2009;Tutti;45-49;1529
Lecce;2009;Tutti;50-54;2613
Lecce;2009;Tutti;55-59;4199
Lecce;2009;Tutti;60-64;6657
Lecce;2009;Tutti;65-69;7025
Lecce;2009;Tutti;70-74;7734
Lecce;2009;Tutti;75-79;7203
Lecce;2009;Tutti;80-84;5156
Lecce;2009;Tutti;85 e oltre;3353
Lecce;2010;Femmine;40-44;413
Lecce;2010;Femmine;45-49;641
Lecce;2010;Femmine;50-54;1120
Lecce;2010;Femmine;55-59;1891
Lecce;2010;Femmine;60-64;3399
Lecce;2010;Femmine;65-69;3714
Lecce;2010;Femmine;70-74;4362
Lecce;2010;Femmine;75-79;4321
Lecce;2010;Femmine;80-84;3494
Lecce;2010;Femmine;85 e oltre;2646
Lecce;2010;Maschi;40-44;483
Lecce;2010;Maschi;45-49;944
Lecce;2010;Maschi;50-54;1520
Lecce;2010;Maschi;55-59;2309
Lecce;2010;Maschi;60-64;3500
Lecce;2010;Maschi;65-69;3506
Lecce;2010;Maschi;70-74;3591
Lecce;2010;Maschi;75-79;3062
Lecce;2010;Maschi;80-84;1974
Lecce;2010;Maschi;85 e oltre;1002
Lecce;2010;Tutti;40-44;896
Lecce;2010;Tutti;45-49;1585
Lecce;2010;Tutti;50-54;2640
Lecce;2010;Tutti;55-59;4200
Lecce;2010;Tutti;60-64;6899
Lecce;2010;Tutti;65-69;7220
Lecce;2010;Tutti;70-74;7953
Lecce;2010;Tutti;75-79;7383
Lecce;2010;Tutti;80-84;5468
Lecce;2010;Tutti;85 e oltre;3648
Lecce;2011;Femmine;40-44;412
Lecce;2011;Femmine;45-49;667
Lecce;2011;Femmine;50-54;1053
Lecce;2011;Femmine;55-59;1896
Lecce;2011;Femmine;60-64;3227
Lecce;2011;Femmine;65-69;3979
Lecce;2011;Femmine;70-74;4351
Lecce;2011;Femmine;75-79;4349
Lecce;2011;Femmine;80-84;3729
Lecce;2011;Femmine;85 e oltre;2848
Lecce;2011;Maschi;40-44;480
Lecce;2011;Maschi;45-49;952
Lecce;2011;Maschi;50-54;1558
Lecce;2011;Maschi;55-59;2318
Lecce;2011;Maschi;60-64;3494
Lecce;2011;Maschi;65-69;3776
Lecce;2011;Maschi;70-74;3698
Lecce;2011;Maschi;75-79;3185
Lecce;2011;Maschi;80-84;2121
Lecce;2011;Maschi;85 e oltre;1087
Lecce;2011;Tutti;40-44;892
Lecce;2011;Tutti;45-49;1619
Lecce;2011;Tutti;50-54;2611
Lecce;2011;Tutti;55-59;4214
Lecce;2011;Tutti;60-64;6721
Lecce;2011;Tutti;65-69;7755
Lecce;2011;Tutti;70-74;8049
Lecce;2011;Tutti;75-79;7534
Lecce;2011;Tutti;80-84;5850
Lecce;2011;Tutti;85 e oltre;3935
Lecce;2012;Femmine;40-44;405
Lecce;2012;Femmine;45-49;682
Lecce;2012;Femmine;50-54;1049
Lecce;2012;Femmine;55-59;1888
Lecce;2012;Femmine;60-64;3049
Lecce;2012;Femmine;65-69;4057
Lecce;2012;Femmine;70-74;4490
Lecce;2012;Femmine;75-79;4307
Lecce;2012;Femmine;80-84;3821
Lecce;2012;Femmine;85 e oltre;3057
Lecce;2012;Maschi;40-44;465
Lecce;2012;Maschi;45-49;978
Lecce;2012;Maschi;50-54;1556
Lecce;2012;Maschi;55-59;2348
Lecce;2012;Maschi;60-64;3364
Lecce;2012;Maschi;65-69;3969
Lecce;2012;Maschi;70-74;3908
Lecce;2012;Maschi;75-79;3269
Lecce;2012;Maschi;80-84;2288
Lecce;2012;Maschi;85 e oltre;1176
Lecce;2012;Tutti;40-44;870
Lecce;2012;Tutti;45-49;1660
Lecce;2012;Tutti;50-54;2605
Lecce;2012;Tutti;55-59;4236
Lecce;2012;Tutti;60-64;6413
Lecce;2012;Tutti;65-69;8026
Lecce;2012;Tutti;70-74;8398
Lecce;2012;Tutti;75-79;7576
Lecce;2012;Tutti;80-84;6109
Lecce;2012;Tutti;85 e oltre;4233
Lecce;2013;Femmine;40-44;422
Lecce;2013;Femmine;45-49;648
Lecce;2013;Femmine;50-54;1113
Lecce;2013;Femmine;55-59;1837
Lecce;2013;Femmine;60-64;2836
Lecce;2013;Femmine;65-69;4195
Lecce;2013;Femmine;70-74;4458
Lecce;2013;Femmine;75-79;4511
Lecce;2013;Femmine;80-84;3843
Lecce;2013;Femmine;85 e oltre;3281
Lecce;2013;Maschi;40-44;447
Lecce;2013;Maschi;45-49;968
Lecce;2013;Maschi;50-54;1576
Lecce;2013;Maschi;55-59;2376
Lecce;2013;Maschi;60-64;3283
Lecce;2013;Maschi;65-69;4140
Lecce;2013;Maschi;70-74;4016
